year,borough,complaint_type,count
2012,Queens,Special Projects Inspection Team (SPIT),553
2012,Queens,Vending,552
2012,Queens,For Hire Vehicle Complaint,538
2012,Queens,BEST/Site Safety,531
2012,Queens,Smoking,521
2012,Queens,Vacant Lot,521
2012,Queens,Bus Stop Shelter Complaint,498
2012,Queens,Lead,483
2012,Queens,Industrial Waste,478
2012,Queens,Litter Basket / Request,477
2012,Queens,Illegal Tree Damage,448
2012,Queens,Asbestos,431
2012,Queens,Investigations and Discipline (IAD),418
2012,Queens,Water Quality,326
2012,Queens,Drinking,318
2012,Queens,Boilers,314
2012,Queens,School Maintenance,314
2012,Queens,Homeless Encampment,301
2012,Queens,Forensic Engineering,295
2012,Queens,Overflowing Litter Baskets,292
2012,Queens,Sweeping/Missed-Inadequate,283
2012,Queens,Construction Safety Enforcement,276
2012,Queens,Unleashed Dog,246
2012,Queens,Public Payphone Complaint,229
2012,Queens,Non-Residential Heat,222
2012,Queens,Recycling Enforcement,191
2012,Queens,Indoor Sewage,189
2012,Queens,Unsanitary Pigeon Condition,174
2012,Queens,Snow,163
2012,Queens,Noise - House of Worship,162
2012,Queens,CONSTRUCTION,158
2012,Queens,Disorderly Youth,101
2012,Queens,Animal in a Park,83
2012,Queens,Urinating in Public,77
2012,Queens,Illegal Animal Kept as Pet,72
2012,Queens,Cranes and Derricks,69
2012,Queens,City Vehicle Placard Complaint,69
2012,Queens,Beach/Pool/Sauna Complaint,67
2012,Queens,Mold,66
2012,Queens,Bus Stop Shelter Placement,66
2012,Queens,Violation of Park Rules,64
2012,Queens,Stalled Sites,62
2012,Queens,Noise - Helicopter,56
2012,Queens,Derelict Bicycle,54
2012,Queens,Posting Advertisement,53
2012,Queens,Harboring Bees/Wasps,52
2012,Queens,Illegal Fireworks,49
2012,Queens,Collection Truck Noise,46
2012,Queens,Senior Center Complaint,45
2012,Queens,Bike/Roller/Skate Chronic,40
2012,Queens,Poison Ivy,34
2012,Queens,Found Property,33
2012,Queens,Bridge Condition,33
2012,Queens,Summer Camp,32
2012,Queens,Unsanitary Animal Facility,29
2012,Queens,Scaffold Safety,28
2012,Queens,Plant,28
2012,Queens,Panhandling,26
2012,Queens,Municipal Parking Facility,18
2012,Queens,Drinking Water,17
2012,Queens,GENERAL,17
2012,Queens,Tattooing,17
2012,Queens,Illegal Animal Sold,17
2012,Queens,ATF,14
2012,Queens,Adopt-A-Basket,11
2012,Queens,Animal Facility - No Permit,10
2012,Queens,Highway Sign - Damaged,9
2012,Queens,Window Guard,6
2012,Queens,PAINT/PLASTER,5
2012,Queens,Highway Sign - Dangling,5
2012,Queens,Public Toilet,5
2012,Queens,Miscellaneous Categories,4
2012,Queens,Highway Sign - Missing,3
2012,Queens,Bike Rack Condition,3
2012,Queens,FATF,3
2012,Queens,X-Ray Machine/Equipment,2
2012,Queens,Trans Fat,2
2012,Queens,Bottled Water,2
2012,Queens,Transportation Provider Complaint,2
2012,Queens,Standpipe - Mechanical,2
2012,Queens,Calorie Labeling,1
2012,Queens,Borough Office,1
2012,Queens,Radioactive Material,1
2012,Queens,Legal Services Provider Complaint,1
2012,Queens,DOF Literature Request,1
2012,Staten Island,Street Condition,7517
2012,Staten Island,Damaged Tree,5970
2012,Staten Island,Street Light Condition,5916
2012,Staten Island,Water System,5046
2012,Staten Island,Sewer,3939
2012,Staten Island,Noise - Residential,3744
2012,Staten Island,Missed Collection (All Materials),2897
2012,Staten Island,GENERAL CONSTRUCTION,2549
2012,Staten Island,Illegal Parking,2322
2012,Staten Island,Sanitation Condition,2239
2012,Staten Island,Dirty Conditions,2175
2012,Staten Island,Overgrown Tree/Branches,2139
2012,Staten Island,Sidewalk Condition,2067
2012,Staten Island,Traffic Signal Condition,1991
2012,Staten Island,HEATING,1871
2012,Staten Island,General Construction/Plumbing,1864
2012,Staten Island,PLUMBING,1839
2012,Staten Island,Building/Use,1640
2012,Staten Island,Blocked Driveway,1630
2012,Staten Island,Root/Sewer/Sidewalk Condition,1472
2012,Staten Island,Noise,1379
2012,Staten Island,Derelict Vehicle,1314
2012,Staten Island,Rodent,1276
2012,Staten Island,PAINT - PLASTER,1225
2012,Staten Island,NONCONST,1188
2012,Staten Island,Dead Tree,1137
2012,Staten Island,ELECTRIC,875
2012,Staten Island,Derelict Vehicles,675
2012,Staten Island,New Tree Request,638
2012,Staten Island,Standing Water,633
2012,Staten Island,Consumer Complaint,587
2012,Staten Island,Noise - Commercial,468
2012,Staten Island,Vacant Lot,461
2012,Staten Island,Noise - Street/Sidewalk,436
2012,Staten Island,Broken Muni Meter,435
2012,Staten Island,Non-Emergency Police Matter,426
2012,Staten Island,Noise - Vehicle,396
2012,Staten Island,Graffiti,357
2012,Staten Island,Other Enforcement,357
2012,Staten Island,Street Sign - Damaged,352
2012,Staten Island,Plumbing,342
2012,Staten Island,Street Sign - Missing,331
2012,Staten Island,Noise Survey,294
2012,Staten Island,Maintenance or Facility,271
2012,Staten Island,Food Establishment,261
2012,Staten Island,Water Conservation,255
2012,Staten Island,Hazardous Materials,254
2012,Staten Island,Unsanitary Animal Pvt Property,244
2012,Staten Island,Curb Condition,241
2012,Staten Island,Air Quality,216
2012,Staten Island,Industrial Waste,190
2012,Staten Island,Litter Basket / Request,189
2012,Staten Island,Street Sign - Dangling,184
2012,Staten Island,Traffic,183
2012,Staten Island,Highway Condition,157
2012,Staten Island,BEST/Site Safety,151
2012,Staten Island,Snow,149
2012,Staten Island,Electrical,139
2012,Staten Island,Illegal Tree Damage,137
2012,Staten Island,Lead,135
2012,Staten Island,APPLIANCE,133
2012,Staten Island,Emergency Response Team (ERT),126
2012,Staten Island,Special Projects Inspection Team (SPIT),119
2012,Staten Island,Unleashed Dog,110
2012,Staten Island,Food Poisoning,109
2012,Staten Island,Elevator,107
2012,Staten Island,Overflowing Litter Baskets,106
2012,Staten Island,For Hire Vehicle Complaint,86
2012,Staten Island,Indoor Air Quality,85
2012,Staten Island,Investigations and Discipline (IAD),85
2012,Staten Island,Water Quality,85
2012,Staten Island,Bus Stop Shelter Complaint,77
2012,Staten Island,Indoor Sewage,75
2012,Staten Island,Plant,75
2012,Staten Island,School Maintenance,71
2012,Staten Island,Construction Safety Enforcement,70
2012,Staten Island,Disorderly Youth,63
2012,Staten Island,Recycling Enforcement,56
2012,Staten Island,Beach/Pool/Sauna Complaint,54
2012,Staten Island,Special Natural Area District (SNAD),54
2012,Staten Island,Asbestos,51
2012,Staten Island,Broken Parking Meter,49
2012,Staten Island,Smoking,48
2012,Staten Island,Drinking,46
2012,Staten Island,Illegal Animal Kept as Pet,44
2012,Staten Island,Noise - Park,39
2012,Staten Island,Vending,39
2012,Staten Island,Unsanitary Pigeon Condition,38
2012,Staten Island,Animal in a Park,36
2012,Staten Island,Poison Ivy,34
2012,Staten Island,Boilers,33
2012,Staten Island,Harboring Bees/Wasps,32
2012,Staten Island,Public Payphone Complaint,31
2012,Staten Island,Homeless Encampment,28
2012,Staten Island,Illegal Fireworks,26
2012,Staten Island,Taxi Complaint,26
2012,Staten Island,CONSTRUCTION,25
2012,Staten Island,Bus Stop Shelter Placement,24
2012,Staten Island,Noise - Helicopter,20
2012,Staten Island,Noise - House of Worship,16
2012,Staten Island,Mold,13
2012,Staten Island,Non-Residential Heat,13
2012,Staten Island,Cranes and Derricks,13
2012,Staten Island,Senior Center Complaint,12
2012,Staten Island,City Vehicle Placard Complaint,12
2012,Staten Island,Violation of Park Rules,11
2012,Staten Island,Bike/Roller/Skate Chronic,11
2012,Staten Island,Panhandling,10
2012,Staten Island,Sweeping/Missed-Inadequate,10
2012,Staten Island,Adopt-A-Basket,9
2012,Staten Island,Stalled Sites,9
2012,Staten Island,Posting Advertisement,7
2012,Staten Island,Animal Facility - No Permit,7
2012,Staten Island,ATF,7
2012,Staten Island,Drinking Water,6
2012,Staten Island,Highway Sign - Damaged,6
2012,Staten Island,Urinating in Public,6
2012,Staten Island,Highway Sign - Missing,6
2012,Staten Island,Miscellaneous Categories,6
2012,Staten Island,Tattooing,5
2012,Staten Island,Collection Truck Noise,5
2012,Staten Island,Bridge Condition,4
2012,Staten Island,Public Toilet,4
2012,Staten Island,Construction,4
2012,Staten Island,Legal Services Provider Complaint,4
2012,Staten Island,Unsanitary Animal Facility,3
2012,Staten Island,Municipal Parking Facility,3
2012,Staten Island,Summer Camp,3
2012,Staten Island,Scaffold Safety,2
2012,Staten Island,Highway Sign - Dangling,2
2012,Staten Island,Bike Rack Condition,2
2012,Staten Island,Derelict Bicycle,2
2012,Staten Island,Calorie Labeling,1
2012,Staten Island,Lifeguard,1
2012,Staten Island,Trans Fat,1
2012,Staten Island,FATF,1
2012,Staten Island,Standpipe - Mechanical,1
2012,UNSPECIFIED,Sanitation Condition,45
2012,UNSPECIFIED,Street Light Condition,25
2012,UNSPECIFIED,Dirty Conditions,9
2012,UNSPECIFIED,Taxi Complaint,7
2012,UNSPECIFIED,Consumer Complaint,3
2012,UNSPECIFIED,Other Enforcement,3
2012,UNSPECIFIED,Vacant Lot,2
2012,UNSPECIFIED,Sweeping/Missed-Inadequate,2
2012,UNSPECIFIED,Electrical,1
2012,UNSPECIFIED,For Hire Vehicle Complaint,1
2012,UNSPECIFIED,General Construction/Plumbing,1
2012,UNSPECIFIED,Traffic,1
2012,UNSPECIFIED,Highway Sign - Missing,1
2012,UNSPECIFIED,Derelict Bicycle,1
2012,UNSPECIFIED,Overflowing Litter Baskets,1
2012,UNSPECIFIED,Homeless Encampment,1
2013,Bronx,HEATING,63903
2013,Bronx,Noise - Residential,36803
2013,Bronx,GENERAL CONSTRUCTION,34638
2013,Bronx,PLUMBING,25871
2013,Bronx,PAINT - PLASTER,24452
2013,Bronx,NONCONST,15028
2013,Bronx,Water System,9717
2013,Bronx,ELECTRIC,9647
2013,Bronx,Blocked Driveway,8431
2013,Bronx,Street Light Condition,7532
2013,Bronx,Street Condition,6027
2013,Bronx,Rodent,4737
2013,Bronx,Illegal Parking,4688
2013,Bronx,Dirty Conditions,4475
2013,Bronx,Noise - Street/Sidewalk,4182
2013,Bronx,Graffiti,2975
2013,Bronx,Sewer,2795
2013,Bronx,General Construction/Plumbing,2692
2013,Bronx,Building/Use,2675
2013,Bronx,Sanitation Condition,2666
2013,Bronx,Elevator,2615
2013,Bronx,Consumer Complaint,2504
2013,Bronx,Noise,2429
2013,Bronx,Noise - Vehicle,2321
2013,Bronx,Broken Muni Meter,1950
2013,Bronx,Traffic Signal Condition,1744
2013,Bronx,Sidewalk Condition,1719
2013,Bronx,APPLIANCE,1705
2013,Bronx,Noise - Commercial,1487
2013,Bronx,Overgrown Tree/Branches,1472
2013,Bronx,Damaged Tree,1412
2013,Bronx,Derelict Vehicles,1275
2013,Bronx,Derelict Vehicle,1170
2013,Bronx,New Tree Request,1097
2013,Bronx,Root/Sewer/Sidewalk Condition,966
2013,Bronx,Missed Collection (All Materials),952
2013,Bronx,Animal Abuse,796
2013,Bronx,Food Establishment,707
2013,Bronx,Dead Tree,707
2013,Bronx,Street Sign - Missing,607
2013,Bronx,Air Quality,587
2013,Bronx,Indoor Air Quality,568
2013,Bronx,Street Sign - Damaged,542
2013,Bronx,Non-Emergency Police Matter,518
2013,Bronx,Water Conservation,445
2013,Bronx,For Hire Vehicle Complaint,443
2013,Bronx,Boilers,434
2013,Bronx,Electrical,423
2013,Bronx,Unsanitary Animal Pvt Property,390
2013,Bronx,Plumbing,384
2013,Bronx,Maintenance or Facility,373
2013,Bronx,Other Enforcement,346
2013,Bronx,Highway Condition,317
2013,Bronx,Food Poisoning,316
2013,Bronx,Curb Condition,303
2013,Bronx,Vending,300
2013,Bronx,Taxi Complaint,299
2013,Bronx,Noise - Park,290
2013,Bronx,Hazardous Materials,280
2013,Bronx,Snow,270
2013,Bronx,Emergency Response Team (ERT),269
2013,Bronx,CONSTRUCTION,269
2013,Bronx,GENERAL,262
2013,Bronx,Drinking,252
2013,Bronx,Non-Residential Heat,251
2013,Bronx,Vacant Lot,241
2013,Bronx,Standing Water,240
2013,Bronx,Street Sign - Dangling,228
2013,Bronx,Traffic,227
2013,Bronx,BEST/Site Safety,224
2013,Bronx,Asbestos,212
2013,Bronx,Indoor Sewage,208
2013,Bronx,Special Projects Inspection Team (SPIT),197
2013,Bronx,Smoking,197
2013,Bronx,School Maintenance,184
2013,Bronx,Litter Basket / Request,182
2013,Bronx,PAINT/PLASTER,181
2013,Bronx,Industrial Waste,168
2013,Bronx,Construction Safety Enforcement,168
2013,Bronx,Homeless Encampment,147
2013,Bronx,Illegal Tree Damage,128
2013,Bronx,Water Quality,128
2013,Bronx,Lead,127
2013,Bronx,Bus Stop Shelter Complaint,112
2013,Bronx,Investigations and Discipline (IAD),98
2013,Bronx,Disorderly Youth,96
2013,Bronx,Unleashed Dog,96
2013,Bronx,Noise - House of Worship,95
2013,Bronx,Sweeping/Missed-Inadequate,92
2013,Bronx,Overflowing Litter Baskets,87
2013,Bronx,Recycling Enforcement,80
2013,Bronx,Violation of Park Rules,76
2013,Bronx,Unsanitary Pigeon Condition,64
2013,Bronx,Animal in a Park,55
2013,Bronx,City Vehicle Placard Complaint,52
2013,Bronx,Urinating in Public,51
2013,Bronx,Bike/Roller/Skate Chronic,50
2013,Bronx,Miscellaneous Categories,45
2013,Bronx,Mold,43
2013,Bronx,Bridge Condition,40
2013,Bronx,Illegal Animal Kept as Pet,37
2013,Bronx,Senior Center Complaint,37
2013,Bronx,Public Payphone Complaint,35
2013,Bronx,Stalled Sites,34
2013,Bronx,Bus Stop Shelter Placement,31
2013,Bronx,Construction,30
2013,Bronx,Illegal Fireworks,29
2013,Bronx,Drinking Water,28
2013,Bronx,Tattooing,25
2013,Bronx,Scaffold Safety,23
2013,Bronx,Harboring Bees/Wasps,22
2013,Bronx,Noise - Helicopter,19
2013,Bronx,Poison Ivy,18
2013,Bronx,Homeless Person Assistance,17
2013,Bronx,Unsanitary Animal Facility,16
2013,Bronx,Panhandling,15
2013,Bronx,Beach/Pool/Sauna Complaint,14
2013,Bronx,Cranes and Derricks,14
2013,Bronx,Highway Sign - Missing,10
2013,Bronx,Adopt-A-Basket,10
2013,Bronx,Posting Advertisement,9
2013,Bronx,DPR Internal,9
2013,Bronx,Broken Parking Meter,8
2013,Bronx,Highway Sign - Damaged,8
2013,Bronx,Window Guard,8
2013,Bronx,Municipal Parking Facility,6
2013,Bronx,Highway Sign - Dangling,5
2013,Bronx,Animal Facility - No Permit,5
2013,Bronx,Derelict Bicycle,5
2013,Bronx,Collection Truck Noise,5
2013,Bronx,STRUCTURAL,4
2013,Bronx,Found Property,3
2013,Bronx,Plant,3
2013,Bronx,Illegal Animal Sold,2
2013,Bronx,Public Toilet,2
2013,Bronx,Transportation Provider Complaint,2
2013,Bronx,Legal Services Provider Complaint,2
2013,Bronx,ATF,2
2013,Bronx,Radioactive Material,1
2013,Bronx,X-Ray Machine/Equipment,1
2013,Bronx,Bike Rack Condition,1
2013,Bronx,Sweeping/Missed,1
2013,Bronx,FATF,1
2013,Bronx,Summer Camp,1
2013,Brooklyn,HEATING,58035
2013,Brooklyn,Noise - Residential,45884
2013,Brooklyn,GENERAL CONSTRUCTION,41311
2013,Brooklyn,PLUMBING,31899
2013,Brooklyn,PAINT - PLASTER,28347
2013,Brooklyn,Blocked Driveway,21520
2013,Brooklyn,NONCONST,19961
2013,Brooklyn,Street Condition,17437
2013,Brooklyn,Street Light Condition,16515
2013,Brooklyn,Illegal Parking,15337
2013,Brooklyn,Water System,14004
2013,Brooklyn,ELECTRIC,13379
2013,Brooklyn,Traffic Signal Condition,13044
2013,Brooklyn,Noise,9708
2013,Brooklyn,Dirty Conditions,9562
2013,Brooklyn,New Tree Request,9383
2013,Brooklyn,Sanitation Condition,9260
2013,Brooklyn,General Construction/Plumbing,8786
2013,Brooklyn,Sewer,8383
2013,Brooklyn,Noise - Commercial,8351
2013,Brooklyn,Street Sign - Damaged,7709
2013,Brooklyn,Building/Use,7424
2013,Brooklyn,Rodent,6849
2013,Brooklyn,Noise - Street/Sidewalk,6542
2013,Brooklyn,Broken Muni Meter,5775
2013,Brooklyn,Damaged Tree,5174
2013,Brooklyn,Graffiti,4816
2013,Brooklyn,Derelict Vehicles,4722
2013,Brooklyn,Consumer Complaint,4627
2013,Brooklyn,Sidewalk Condition,4605
2013,Brooklyn,Missed Collection (All Materials),4593
2013,Brooklyn,Overgrown Tree/Branches,4435
2013,Brooklyn,Noise - Vehicle,3961
2013,Brooklyn,Derelict Vehicle,3174
2013,Brooklyn,Root/Sewer/Sidewalk Condition,2564
2013,Brooklyn,Dead Tree,2383
2013,Brooklyn,Elevator,2040
2013,Brooklyn,Taxi Complaint,2000
2013,Brooklyn,APPLIANCE,1926
2013,Brooklyn,Street Sign - Missing,1868
2013,Brooklyn,Other Enforcement,1710
2013,Brooklyn,Food Establishment,1702
2013,Brooklyn,Air Quality,1689
2013,Brooklyn,Electrical,1429
2013,Brooklyn,Non-Emergency Police Matter,1316
2013,Brooklyn,Emergency Response Team (ERT),1292
2013,Brooklyn,Indoor Air Quality,1262
2013,Brooklyn,Maintenance or Facility,962
2013,Brooklyn,Curb Condition,960
2013,Brooklyn,Plumbing,942
2013,Brooklyn,Vacant Lot,908
2013,Brooklyn,Lead,902
2013,Brooklyn,Noise - Park,900
2013,Brooklyn,Water Conservation,899
2013,Brooklyn,Litter Basket / Request,878
2013,Brooklyn,Hazardous Materials,814
2013,Brooklyn,Sweeping/Missed-Inadequate,756
2013,Brooklyn,Food Poisoning,740
2013,Brooklyn,Street Sign - Dangling,725
2013,Brooklyn,BEST/Site Safety,710
2013,Brooklyn,Traffic,652
2013,Brooklyn,Construction Safety Enforcement,640
2013,Brooklyn,For Hire Vehicle Complaint,605
2013,Brooklyn,Illegal Tree Damage,591
2013,Brooklyn,Boilers,584
2013,Brooklyn,Special Projects Inspection Team (SPIT),570
2013,Brooklyn,Vending,568
2013,Brooklyn,Asbestos,560
2013,Brooklyn,Unsanitary Animal Pvt Property,545
2013,Brooklyn,Standing Water,535
2013,Brooklyn,Homeless Encampment,497
2013,Brooklyn,Indoor Sewage,459
2013,Brooklyn,Smoking,459
2013,Brooklyn,School Maintenance,451
2013,Brooklyn,Noise - House of Worship,442
2013,Brooklyn,Industrial Waste,436
2013,Brooklyn,Highway Condition,382
2013,Brooklyn,Non-Residential Heat,380
2013,Brooklyn,Investigations and Discipline (IAD),379
2013,Brooklyn,Plant,366
2013,Brooklyn,Snow,358
2013,Brooklyn,Bus Stop Shelter Complaint,344
2013,Brooklyn,Derelict Bicycle,336
2013,Brooklyn,CONSTRUCTION,334
2013,Brooklyn,Drinking,327
2013,Brooklyn,Water Quality,326
2013,Brooklyn,Overflowing Litter Baskets,310
2013,Brooklyn,Recycling Enforcement,238
2013,Brooklyn,Noise - Helicopter,230
2013,Brooklyn,Unleashed Dog,173
2013,Brooklyn,Homeless Person Assistance,144
2013,Brooklyn,Unsanitary Pigeon Condition,135
2013,Brooklyn,Disorderly Youth,125
2013,Brooklyn,Bridge Condition,118
2013,Brooklyn,Mold,114
2013,Brooklyn,Urinating in Public,113
2013,Brooklyn,City Vehicle Placard Complaint,109
2013,Brooklyn,Construction,94
2013,Brooklyn,Animal in a Park,92
2013,Brooklyn,Public Payphone Complaint,90
2013,Brooklyn,Bike/Roller/Skate Chronic,89
2013,Brooklyn,Illegal Animal Kept as Pet,87
2013,Brooklyn,Bus Stop Shelter Placement,78
2013,Brooklyn,Miscellaneous Categories,78
2013,Brooklyn,Cranes and Derricks,74
2013,Brooklyn,Bike Rack Condition,73
2013,Brooklyn,Senior Center Complaint,72
2013,Brooklyn,Violation of Park Rules,69
2013,Brooklyn,GENERAL,58
2013,Brooklyn,Posting Advertisement,49
2013,Brooklyn,Illegal Fireworks,48
2013,Brooklyn,PAINT/PLASTER,46
2013,Brooklyn,Found Property,40
2013,Brooklyn,Beach/Pool/Sauna Complaint,39
2013,Brooklyn,Broken Parking Meter,38
2013,Brooklyn,Harboring Bees/Wasps,33
2013,Brooklyn,Scaffold Safety,29
2013,Brooklyn,Collection Truck Noise,29
2013,Brooklyn,Unsanitary Animal Facility,26
2013,Brooklyn,Drinking Water,23
2013,Brooklyn,Panhandling,23
2013,Brooklyn,Tattooing,22
2013,Brooklyn,Public Toilet,22
2013,Brooklyn,Animal Facility - No Permit,18
2013,Brooklyn,Window Guard,17
2013,Brooklyn,Poison Ivy,16
2013,Brooklyn,Stalled Sites,15
2013,Brooklyn,DPR Internal,12
2013,Brooklyn,Adopt-A-Basket,10
2013,Brooklyn,ATF,10
2013,Brooklyn,Municipal Parking Facility,9
2013,Brooklyn,Highway Sign - Damaged,8
2013,Brooklyn,Illegal Animal Sold,8
2013,Brooklyn,Highway Sign - Missing,8
2013,Brooklyn,Bottled Water,8
2013,Brooklyn,Forensic Engineering,5
2013,Brooklyn,Legal Services Provider Complaint,4
2013,Brooklyn,STRUCTURAL,4
2013,Brooklyn,Special Natural Area District (SNAD),3
2013,Brooklyn,X-Ray Machine/Equipment,3
2013,Brooklyn,Transportation Provider Complaint,3
2013,Brooklyn,Highway Sign - Dangling,2
2013,Brooklyn,Calorie Labeling,1
2013,Brooklyn,Lifeguard,1
2013,Brooklyn,Radioactive Material,1
2013,Brooklyn,Trans Fat,1
2013,Brooklyn,Sweeping/Missed,1
2013,Brooklyn,Summer Camp,1
2013,Brooklyn,Portable Toilet,1
2013,Manhattan,HEATING,44904
2013,Manhattan,Noise - Residential,36067
2013,Manhattan,GENERAL CONSTRUCTION,19681
2013,Manhattan,Noise,19544
2013,Manhattan,Broken Muni Meter,18592
2013,Manhattan,PLUMBING,15375
2013,Manhattan,PAINT - PLASTER,14643
2013,Manhattan,Taxi Complaint,11981
2013,Manhattan,Street Condition,11850
2013,Manhattan,Noise - Commercial,11606
2013,Manhattan,Noise - Street/Sidewalk,10866
2013,Manhattan,Water System,10172
2013,Manhattan,NONCONST,9861
2013,Manhattan,Illegal Parking,7939
2013,Manhattan,General Construction/Plumbing,6366
2013,Manhattan,ELECTRIC,5559
2013,Manhattan,Rodent,5156
2013,Manhattan,Dirty Conditions,4880
2013,Manhattan,Consumer Complaint,4714
2013,Manhattan,Noise - Vehicle,4042
2013,Manhattan,Sidewalk Condition,3372
2013,Manhattan,Air Quality,3150
2013,Manhattan,Sewer,2874
2013,Manhattan,Food Establishment,2605
2013,Manhattan,Graffiti,2555
2013,Manhattan,Elevator,2042
2013,Manhattan,Sanitation Condition,2027
2013,Manhattan,Street Light Condition,2002
2013,Manhattan,Blocked Driveway,1913
2013,Manhattan,Indoor Air Quality,1820
2013,Manhattan,Emergency Response Team (ERT),1798
2013,Manhattan,Building/Use,1785
2013,Manhattan,Vending,1773
2013,Manhattan,Traffic Signal Condition,1603
2013,Manhattan,Homeless Encampment,1511
2013,Manhattan,New Tree Request,1447
2013,Manhattan,Missed Collection (All Materials),1403
2013,Manhattan,Other Enforcement,1181
2013,Manhattan,Traffic,1153
2013,Manhattan,Noise - Park,1112
2013,Manhattan,Food Poisoning,1111
2013,Manhattan,Special Projects Inspection Team (SPIT),1110
2013,Manhattan,Construction Safety Enforcement,994
2013,Manhattan,APPLIANCE,953
2013,Manhattan,Non-Emergency Police Matter,899
2013,Manhattan,Damaged Tree,862
2013,Manhattan,Maintenance or Facility,858
2013,Manhattan,Hazardous Materials,763
2013,Manhattan,Street Sign - Damaged,730
2013,Manhattan,Electrical,694
2013,Manhattan,For Hire Vehicle Complaint,684
2013,Manhattan,Litter Basket / Request,664
2013,Manhattan,Asbestos,635
2013,Manhattan,Smoking,612
2013,Manhattan,Overgrown Tree/Branches,578
2013,Manhattan,BEST/Site Safety,568
2013,Manhattan,Lead,567
2013,Manhattan,Boilers,526
2013,Manhattan,Plumbing,508
2013,Manhattan,Non-Residential Heat,486
2013,Manhattan,Street Sign - Missing,484
2013,Manhattan,Illegal Tree Damage,474
2013,Manhattan,Dead Tree,457
2013,Manhattan,Noise - Helicopter,427
2013,Manhattan,Curb Condition,404
2013,Manhattan,GENERAL,400
2013,Manhattan,Derelict Vehicle,387
2013,Manhattan,Street Sign - Dangling,360
2013,Manhattan,Unsanitary Animal Pvt Property,360
2013,Manhattan,Drinking,347
2013,Manhattan,Derelict Bicycle,325
2013,Manhattan,PAINT/PLASTER,323
2013,Manhattan,Derelict Vehicles,321
2013,Manhattan,Found Property,312
2013,Manhattan,Recycling Enforcement,305
2013,Manhattan,Bike/Roller/Skate Chronic,288
2013,Manhattan,Bus Stop Shelter Complaint,287
2013,Manhattan,Highway Condition,275
2013,Manhattan,Industrial Waste,273
2013,Manhattan,Water Quality,266
2013,Manhattan,Homeless Person Assistance,261
2013,Manhattan,Water Conservation,256
2013,Manhattan,Overflowing Litter Baskets,255
2013,Manhattan,School Maintenance,236
2013,Manhattan,Standing Water,228
2013,Manhattan,Miscellaneous Categories,228
2013,Manhattan,Snow,225
2013,Manhattan,Noise - House of Worship,217
2013,Manhattan,Public Payphone Complaint,216
2013,Manhattan,CONSTRUCTION,202
2013,Manhattan,Indoor Sewage,195
2013,Manhattan,Investigations and Discipline (IAD),190
2013,Manhattan,Root/Sewer/Sidewalk Condition,186
2013,Manhattan,Cranes and Derricks,173
2013,Manhattan,Sweeping/Missed-Inadequate,170
2013,Manhattan,Unsanitary Pigeon Condition,137
2013,Manhattan,Disorderly Youth,130
2013,Manhattan,Mold,119
2013,Manhattan,Urinating in Public,116
2013,Manhattan,Violation of Park Rules,114
2013,Manhattan,Animal in a Park,101
2013,Manhattan,City Vehicle Placard Complaint,98
2013,Manhattan,Vacant Lot,95
2013,Manhattan,Panhandling,93
2013,Manhattan,Bridge Condition,91
2013,Manhattan,Scaffold Safety,77
2013,Manhattan,Senior Center Complaint,76
2013,Manhattan,Bus Stop Shelter Placement,74
2013,Manhattan,Unleashed Dog,71
2013,Manhattan,Construction,62
2013,Manhattan,Bike Rack Condition,53
2013,Manhattan,Collection Truck Noise,49
2013,Manhattan,Broken Parking Meter,48
2013,Manhattan,Illegal Fireworks,40
2013,Manhattan,Beach/Pool/Sauna Complaint,27
2013,Manhattan,Drinking Water,26
2013,Manhattan,Plant,26
2013,Manhattan,DPR Internal,24
2013,Manhattan,Adopt-A-Basket,22
2013,Manhattan,ATF,22
2013,Manhattan,Illegal Animal Kept as Pet,21
2013,Manhattan,Tattooing,21
2013,Manhattan,Posting Advertisement,16
2013,Manhattan,Animal Facility - No Permit,12
2013,Manhattan,Calorie Labeling,11
2013,Manhattan,Unsanitary Animal Facility,11
2013,Manhattan,Illegal Animal Sold,10
2013,Manhattan,Window Guard,8
2013,Manhattan,Public Toilet,8
2013,Manhattan,Highway Sign - Missing,8
2013,Manhattan,Highway Sign - Damaged,7
2013,Manhattan,Harboring Bees/Wasps,6
2013,Manhattan,Stalled Sites,6
2013,Manhattan,Building Condition,5
2013,Manhattan,Lifeguard,4
2013,Manhattan,Municipal Parking Facility,4
2013,Manhattan,Poison Ivy,4
2013,Manhattan,FATF,4
2013,Manhattan,Animal Abuse,4
2013,Manhattan,Transportation Provider Complaint,4
2013,Manhattan,STRUCTURAL,3
2013,Manhattan,Highway Sign - Dangling,2
2013,Manhattan,Bottled Water,2
2013,Manhattan,Squeegee,1
2013,Manhattan,Radioactive Material,1
2013,Manhattan,X-Ray Machine/Equipment,1
2013,Manhattan,ZTESTINT,1
2013,Manhattan,Facades,1
2013,Manhattan,Literature Request,1
2013,Manhattan,Legal Services Provider Complaint,1
2013,Manhattan,Summer Camp,1
2013,Queens,Noise - Residential,28219
2013,Queens,Blocked Driveway,23831
2013,Queens,HEATING,23738
2013,Queens,Street Light Condition,19813
2013,Queens,Street Condition,15800
2013,Queens,Water System,13138
2013,Queens,Sewer,12912
2013,Queens,GENERAL CONSTRUCTION,12311
